Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
414;Gerard Granollers;ESP;27;0;0
415;Alen Avidzba;RUS;27;0;0
416;Steven Diez;CAN;27;0;0
417;Andres Artunedo Martinavarr;ESP;26;0;0
418;Zizou Bergs;BEL;26;0;0
419;Wishaya Trongcharoenchaikul;THA;26;0;0
420;Cristian Rodriguez;COL;25;2;0
421;Arthur Rinderknech;FRA;25;2;0
422;Igor Sijsling;NED;24;2;0
423;Markus Eriksson;SWE;24;2;0
424;Corentin Denolly;FRA;24;2;0
425;Tobias Simon;GER;24;2;0
426;Lloyd Glasspool;GBR;24;2;0
427;Javier Barranco Cosano;ESP;24;2;0
428;Marvin Netuschil;GER;23;2;0
429;Albano Olivetti;FRA;23;2;0
430;Sidharth Rawat;IND;23;2;0
431;Frederik Nielsen;DEN;23;2;0
432;Nam Hoang Ly;VIE;22;2;0
433;Takanyi Garanganga;ZIM;22;2;0
434;Enrico Dalla Valle;ITA;22;2;0
435;Karue Sell;BRA;21;2;0
436;Karim-Mohamed Maamoun;EGY;21;2;0
437;Maximo Gonzalez;ARG;20;2;0
438;William Blumberg;USA;20;2;0
439;Lamine Ouahab;MAR;20;2;0
440;Tom Fawcett;USA;20;2;0
441;Fabrizio Ornago;ITA;20;2;0
442;Austin Krajicek;USA;20;2;0
443;Martin Redlicki;USA;20;2;0
444;Harrison Adams;USA;20;2;0
445;Hernan Casanova;ARG;20;2;0
446;Miliaan Niesten;NED;19;2;0
447;Thiago Seyboth Wild;BRA;19;2;0
448;Edan Leshem;ISR;19;2;0
449;Gijs Brouwer;NED;19;47;7
450;Bastian Malla;CHI;18;1;0
451;Hugo Nys;FRA;18;59;8
452;Patrick Kypson;USA;18;0;0
453;Gregoire Jacq;FRA;18;0;0
454;Geoffrey Blancaneaux;FRA;18;-34;-8
455;Andrea Vavassori;ITA;17;0;0
456;Ji Hoon Son;KOR;17;0;0
457;Manuel Guinard;FRA;17;0;0
458;Benjamin Mitchell;AUS;17;0;0
459;Alafia Ayeni;USA;17;0;0
460;Patricio Heras;ARG;17;0;0
461;Antoine Cornut-Chauvinc;FRA;17;0;0
462;Yannick Jankovits;FRA;17;0;0
463;Harry Bourchier;AUS;17;0;0
464;Louis Wessels;GER;16;0;0
465;Edoardo Eremin;ITA;16;0;0
466;Evan Furness;FRA;16;0;0
467;Christopher Heyman;BEL;16;0;0
468;Ronnie Schneider;USA;16;0;0
469;Michael Vrbensky;CZE;15;0;0
470;Altug Celikbilek;TUR;15;1;0
